Date,Close,Symbol
6/25/2019 16:00:00,8.74,NMRK
6/26/2019 16:00:00,8.77,NMRK
6/27/2019 16:00:00,8.86,NMRK
6/28/2019 16:00:00,8.98,NMRK
7/1/2019 16:00:00,9.14,NMRK
7/2/2019 16:00:00,9.19,NMRK
7/3/2019 13:00:00,9.31,NMRK
7/5/2019 16:00:00,9.31,NMRK
7/8/2019 16:00:00,9.22,NMRK
7/9/2019 16:00:00,9.12,NMRK
7/10/2019 16:00:00,9.21,NMRK
7/11/2019 16:00:00,9.65,NMRK
7/12/2019 16:00:00,9.76,NMRK
7/15/2019 16:00:00,9.75,NMRK
7/16/2019 16:00:00,9.75,NMRK
7/17/2019 16:00:00,9.85,NMRK
7/18/2019 16:00:00,9.94,NMRK
7/19/2019 16:00:00,9.92,NMRK
7/22/2019 16:00:00,9.63,NMRK
7/23/2019 16:00:00,9.78,NMRK
7/24/2019 16:00:00,9.89,NMRK
7/25/2019 16:00:00,9.79,NMRK
7/26/2019 16:00:00,9.85,NMRK
7/29/2019 16:00:00,9.79,NMRK
7/30/2019 16:00:00,9.96,NMRK
7/31/2019 16:00:00,9.86,NMRK
8/1/2019 16:00:00,9.99,NMRK
8/2/2019 16:00:00,9.42,NMRK
8/5/2019 16:00:00,8.72,NMRK
8/6/2019 16:00:00,8.79,NMRK
8/7/2019 16:00:00,9.01,NMRK
8/8/2019 16:00:00,9.26,NMRK
8/9/2019 16:00:00,9.25,NMRK
8/12/2019 16:00:00,8.98,NMRK
8/13/2019 16:00:00,9.07,NMRK
8/14/2019 16:00:00,8.74,NMRK
8/15/2019 16:00:00,8.59,NMRK
8/16/2019 16:00:00,8.74,NMRK
8/19/2019 16:00:00,8.92,NMRK
8/20/2019 16:00:00,8.79,NMRK
8/21/2019 16:00:00,8.9,NMRK
8/22/2019 16:00:00,8.65,NMRK
8/23/2019 16:00:00,8.18,NMRK
8/26/2019 16:00:00,8.35,NMRK
8/27/2019 16:00:00,8.43,NMRK
8/28/2019 16:00:00,8.54,NMRK
8/29/2019 16:00:00,8.61,NMRK
8/30/2019 16:00:00,8.68,NMRK
9/3/2019 16:00:00,8.54,NMRK
9/4/2019 16:00:00,8.62,NMRK
9/5/2019 16:00:00,8.84,NMRK
9/6/2019 16:00:00,8.82,NMRK
9/9/2019 16:00:00,9.33,NMRK
9/10/2019 16:00:00,9.61,NMRK
9/11/2019 16:00:00,10.03,NMRK
9/12/2019 16:00:00,10.08,NMRK
9/13/2019 16:00:00,10.11,NMRK
9/16/2019 16:00:00,10.37,NMRK
9/17/2019 16:00:00,9.82,NMRK
9/18/2019 16:00:00,9.64,NMRK
9/19/2019 16:00:00,9.58,NMRK
9/20/2019 16:00:00,9.48,NMRK
9/23/2019 16:00:00,9.45,NMRK
9/24/2019 16:00:00,9.1,NMRK
9/25/2019 16:00:00,9.27,NMRK
9/26/2019 16:00:00,9.28,NMRK
9/27/2019 16:00:00,9.25,NMRK
9/30/2019 16:00:00,9.06,NMRK
10/1/2019 16:00:00,8.79,NMRK
10/2/2019 16:00:00,8.67,NMRK
10/3/2019 16:00:00,8.98,NMRK
10/4/2019 16:00:00,9.16,NMRK
10/7/2019 16:00:00,9.06,NMRK
10/8/2019 16:00:00,8.84,NMRK
10/9/2019 16:00:00,8.9,NMRK
10/10/2019 16:00:00,8.83,NMRK
10/11/2019 16:00:00,9.12,NMRK
10/14/2019 16:00:00,9.11,NMRK
